held_out_session,model,target,condition,ccc,pearson_r,mse,rmse,pred_dispersion
2,Ensemble,valence,lag_0,-0.019537989866313197,-0.20936709058378833,1.8877183613804362,1.3739426339481704,0.0476420029740756
3,MeanBaseline,arousal,lag_0,0.0,,0.6105189003547292,0.7813570888874876,0.0
3,RidgeCV,arousal,lag_0,-0.04238815448511508,-0.13626454403589855,0.6746057884057922,0.8213438916834971,0.16886989494124335
3,SVR,arousal,lag_0,-0.08957971168872637,-0.18555814811278504,0.8117277124697991,0.9009593289765078,0.3016831069838202
3,XGBoost,arousal,lag_0,-0.06414674831975359,-0.17830928762823117,0.6585785754681637,0.8115285426084308,0.1867569418307255
3,CatBoost,arousal,lag_0,-0.07859624126309248,-0.24745820672006583,0.6740734394324508,0.8210197558113025,0.1665015283862945
3,CatBoostOptuna,arousal,lag_0,-0.026563071614806505,-0.3490645411983449,0.6440789260560064,0.8025452797543615,0.040049399353885476
3,Ensemble,arousal,lag_0,-0.0732066129678105,-0.2257570125481421,0.703975861104225,0.8390326937040207,0.17842408915572525
3,MeanBaseline,valence,lag_0,7.9193266488424e-32,,1.2957673961671496,1.1383177922562528,4.072487414990921e-16
3,RidgeCV,valence,lag_0,0.06198789648844058,0.37379291848673907,1.3080834249216802,1.143714748056385,0.09724155475371359
3,SVR,valence,lag_0,0.0063685126594047745,0.42541303747755727,1.3192799079040691,1.148599106696531,0.00835772135533368
3,XGBoost,valence,lag_0,0.14163678486943507,0.47366519535424734,1.1896546736709706,1.0907129199156718,0.17426231002675788
3,CatBoost,valence,lag_0,0.147681512121438,0.54214543984984,1.189961829412378,1.0908537158631206,0.15991548035405334
3,CatBoostOptuna,valence,lag_0,0.0002901196083998001,0.0342046688599535,1.316847672171963,1.1475398346776302,0.004697884250318067
3,Ensemble,valence,lag_0,0.07317666625189549,0.5194055280202075,1.2663708273736005,1.1253314300123323,0.08094295494041652
4,MeanBaseline,arousal,lag_0,0.0,,0.33505240065615444,0.5788371106418061,0.0
4,RidgeCV,arousal,lag_0,0.18813428245661884,0.5006531137396661,0.4266652099883813,0.653196149704192,0.4194680393461666
4,SVR,arousal,lag_0,0.23651770695430213,0.49172106336137683,0.5356202661788978,0.7318608243231071,0.7167500081172814
4,XGBoost,arousal,lag_0,0.14313520437206584,0.41559890010161726,0.5984907622031057,0.7736218470306444,0.5109542915509878
4,CatBoost,arousal,lag_0,-0.04040873944180899,-0.2089123523316171,0.8548029553136376,0.9245555447422494,0.3375499390760226
4,CatBoostOptuna,arousal,lag_0,-0.0916502688910058,-0.4963116754003356,0.6016080198243923,0.7756339470551764,0.2161594216319256
4,Ensemble,arousal,lag_0,0.12263036597192134,0.4271946885636523,0.5650347385389648,0.7516879262958563,0.3926716587092904
4,MeanBaseline,valence,lag_0,-1.056684294231589e-30,,0.17419350846453277,0.41736495835723053,1.1976951512638137e-15
4,RidgeCV,valence,lag_0,-0.05736976074676157,-0.08724483368397791,0.19744627417128235,0.44434927047456974,0.4465679198084056
4,SVR,valence,lag_0,-0.001304168713556208,-0.003655345267271015,0.15681943063260764,0.3960043315831377,0.2032176224432172
4,XGBoost,valence,lag_0,0.08148414624734156,0.09039735687951214,0.20709212891138856,0.45507376205554695,0.7391225764600283
4,CatBoost,valence,lag_0,-0.018717324546470057,-0.02648149630004163,0.16879050999157638,0.4108412223616033,0.42590989342304975
4,CatBoostOptuna,valence,lag_0,0.06023322517201727,0.06480394788325938,0.20083789115612619,0.44814940718038015,0.7224076970596931
4,Ensemble,valence,lag_0,-0.03225159473128116,-0.06330900821660104,0.16637933667358673,0.4078962327278676,0.2986219002097585
5,MeanBaseline,arousal,lag_0,0.0,,0.6815221654761654,0.8255435575886747,0.0
5,RidgeCV,arousal,lag_0,-0.006211416488931088,-0.03081609885459416,1.0466503825017919,1.0230593250158038,0.2942806348300818
5,SVR,arousal,lag_0,-0.0061458293453365235,-0.027957634231575254,1.2326246297916257,1.1102362945749997,0.37799519952805877
5,XGBoost,arousal,lag_0,-0.020682630196362482,-0.06415879223190067,1.081537831277379,1.0399701107615444,0.47944288107612304
5,CatBoost,arousal,lag_0,-0.010775543896407351,-0.06374545915118657,0.9857095778708931,0.9928290778733735,0.23137716427401953
5,CatBoostOptuna,arousal,lag_0,-0.01710519844426702,-0.06020523737425924,1.198769972859722,1.0948835430582204,0.47000245051290324
5,Ensemble,arousal,lag_0,-0.006607614096205832,-0.04309752688450812,1.0664010080351247,1.032666939547851,0.22797590784726643
5,MeanBaseline,valence,lag_0,0.0,,0.3815229589277974,0.6176754478913642,1.5326335095525967e-15
5,RidgeCV,valence,lag_0,0.13124592850528946,0.3301872532934147,0.33185290881179236,0.5760667572528312,0.2260583306274181
5,SVR,valence,lag_0,0.004064722205798275,0.13693670504824507,0.35626100292058765,0.5968760364770792,0.01580863493931634
5,XGBoost,valence,lag_0,0.32352735983826875,0.44129090370527346,0.3617999332411988,0.6014980741791272,0.5837817156474511
5,CatBoost,valence,lag_0,0.22073943565126508,0.4278584827069242,0.2861187138019959,0.5349006578814387,0.28202626171153566
5,CatBoostOptuna,valence,lag_0,0.33539764711936804,0.37873734251853386,0.309044722186267,0.5559179095750262,0.6130946763143816
5,Ensemble,valence,lag_0,0.12354866878571448,0.411521699481194,0.315789723414931,0.5619517091485094,0.16105036817730325
6,MeanBaseline,arousal,lag_0,-3.448352791411843e-32,,0.9531856620375357,0.9763122769060808,4.595093589953761e-16
6,RidgeCV,arousal,lag_0,0.03422793886340792,0.10411446922675552,0.9364402136914037,0.9676984105037084,0.1706449186158647
6,SVR,arousal,lag_0,0.052761773487223176,0.1364938984763813,0.9211080726904392,0.9597437536605483,0.20122215885500125
6,XGBoost,arousal,lag_0,0.024935320928137248,0.08159833705818643,0.9541492112002818,0.9768056158726166,0.1600791646929254
6,CatBoost,arousal,lag_0,0.0488817471832326,0.16394912017031182,0.917064739546405,0.9576349719733532,0.15389389580988688
6,CatBoostOptuna,arousal,lag_0,0.005570411606909261,0.03869951002065055,0.9576155193154616,0.9785783153715709,0.07420227882481435
6,Ensemble,arousal,lag_0,0.046442950584338984,0.18240627411823576,0.9056227005167263,0.9516421073684824,0.12944906990630928
6,MeanBaseline,valence,lag_0,-9.609787675305574e-31,,0.32835726735072834,0.5730246655692304,1.5515167701392823e-15
6,RidgeCV,valence,lag_0,-0.005783082414127335,-0.013383849492323551,0.3486283216062895,0.5904475604203048,0.22851735840923867
6,SVR,valence,lag_0,0.005858612475985986,0.11648314351621583,0.32999979442710997,0.5744560857255409,0.025472978184853994
6,XGBoost,valence,lag_0,0.0005879606150674583,0.001047750539422472,0.3653341957709969,0.6044288177866745,0.31298145799946214
6,CatBoost,valence,lag_0,0.00912049154760601,0.028627474436178024,0.33663399675029587,0.5802016862697797,0.1651409790072755
6,CatBoostOptuna,valence,lag_0,-0.03247817886633471,-0.04684652917630186,0.44153002361114563,0.6644772559020704,0.45235159633362854
6,Ensemble,valence,lag_0,0.0029025461362985777,0.012772376878983978,0.33140046794200145,0.5756739250148485,0.1152405801141965
7,MeanBaseline,arousal,lag_0,1.2668964134077056e-31,,1.1176163843180509,1.0571737720536065,4.346008665468441e-16
7,RidgeCV,arousal,lag_0,-0.006382614293948295,-0.024330961554245068,1.1906730689832234,1.0911796685162456,0.1486207576982167
7,SVR,arousal,lag_0,-0.026109315616065387,-0.0712818833026169,1.3030736337603037,1.1415225069004569,0.22274213987275374
7,XGBoost,arousal,lag_0,0.04251250758580424,0.08164244980153487,1.1382859601399475,1.0669048505560126,0.29643515205644866
7,CatBoost,arousal,lag_0,0.035068612555171706,0.08426056876365495,1.0981016838803768,1.0479034706882007,0.22680418273959255
7,CatBoostOptuna,arousal,lag_0,0.043967770647242846,0.09302801408445517,1.1605205929477325,1.077274613526065,0.2747335838686656
7,Ensemble,arousal,lag_0,0.0017792494373776717,0.006213234251730491,1.1732202644981415,1.0831529275675442,0.16116948180297114
7,MeanBaseline,valence,lag_0,0.0,,1.034938949393287,1.017319492290051,0.0
7,RidgeCV,valence,lag_0,-0.06851695509931809,-0.30565282864802557,1.1262050103949504,1.061228067097243,0.13972171972661743
7,SVR,valence,lag_0,0.0019110159335898073,0.05514979587365705,0.9797768999058899,0.9898368046834235,0.020115766335697796
7,XGBoost,valence,lag_0,-0.08407332722297631,-0.2232043425673835,1.2132548488467696,1.1014784831519722,0.24929135701178337
7,CatBoost,valence,lag_0,-0.0973663857332439,-0.3731111999784593,1.1932578756671441,1.0923634357058754,0.1678076168652992
7,CatBoostOptuna,valence,lag_0,-0.14309786621357534,-0.37575272083043765,1.3230840446957841,1.1502539044470939,0.2606713444267809
7,Ensemble,valence,lag_0,-0.05758652945067362,-0.3893050881999699,1.0904524598459227,1.0442473173754974,0.09019446807398682
8,MeanBaseline,arousal,lag_0,-1.4039623735631465e-31,,0.7894207103746186,0.8884935060959188,5.025181470596798e-16
8,RidgeCV,arousal,lag_0,0.07313836640475595,0.18943649180120267,0.7761224474215176,0.8809781197178042,0.2069807775589111
8,SVR,arousal,lag_0,0.12421680223466887,0.25089476665384297,0.7706241722532645,0.8778520218426705,0.2789123997762467
8,XGBoost,arousal,lag_0,0.10428461977407512,0.21732891492785866,0.7551326709742806,0.8689837000624814,0.2589936050864036
8,CatBoost,arousal,lag_0,-0.018738113877184322,-0.05728519979715276,0.8455673430235136,0.9195473576839387,0.1738209624334367
8,CatBoostOptuna,arousal,lag_0,0.007454851210271634,0.060249832652939955,0.7948105814883558,0.8915214980517048,0.06343509078403542
8,Ensemble,arousal,lag_0,0.06211146675259775,0.18803835901372357,0.7841438320382557,0.8855189619868429,0.17680840189214353
8,MeanBaseline,valence,lag_0,7.164245107138646e-31,,0.7280054231422738,0.8532323383125336,1.06337797383066e-15
8,RidgeCV,valence,lag_0,0.02938753367196959,0.08585769655313237,0.7612128463276224,0.8724751264807624,0.19239290061019362
8,SVR,valence,lag_0,0.004577839960370783,0.15861259732455327,0.7419379414005904,0.8613581957586463,0.015418001953020677
8,XGBoost,valence,lag_0,-8.435413187561814e-05,-0.00020286224567980655,0.7526588431831039,0.8675591295024818,0.2242908509133609
8,CatBoost,valence,lag_0,-0.05058448982899864,-0.17522142729708517,0.799550970009332,0.8941761403713095,0.15746724226107592
8,CatBoostOptuna,valence,lag_0,-0.011344836245294872,-0.023365362026257348,0.8292650336447943,0.9106399033892565,0.2853413428232626
