model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
Ensemble,arousal,lag_0,0.010810170366264134,0.03245966757129036,-0.0064863655571942465,0.028106706289722515,0.03488875477914606,0.8286014967093969,0.25033623062428134,16
CatBoost,arousal,lag_0,0.008980997803129446,0.05034463960860524,-0.017845767000647935,0.03580776260690682,0.02635749260936973,0.7887596122131301,0.20833493587870933,16
MeanBaseline,arousal,lag_0,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,6.587482990504111e-16,16
SVR,arousal,lag_0,-4.0289190355684117e-05,0.035687230164403665,-0.019056671819402973,0.018976093438691603,0.027137278919230366,0.8909375741316365,0.26227415041797264,16
XGBoost,arousal,lag_0,-0.0007193644197431206,0.04665373920355498,-0.025579387225758227,0.02414065838627199,-0.002521906216960447,0.8049606219052674,0.27218032967444616,16
CatBoostOptuna,arousal,lag_1,0.020122533321699804,0.07290804550203876,-0.018727421791534936,0.05897248843493454,0.03426696488581041,0.8213524413338513,0.3819975961445763,16
Ensemble,arousal,lag_1,0.011610095264331561,0.028636812564156792,-0.003649385017203315,0.026869575545866435,0.04115587050531503,0.8423874968818329,0.2746582897177484,16
RidgeCV,arousal,lag_1,0.010519526099908378,0.02767218207019401,-0.00422593887462909,0.025264991074445846,0.026364928248873973,0.893726665147524,0.42989888771848717,16
CatBoost,arousal,lag_1,0.008083556923807474,0.05215292163663026,-0.019706773356689165,0.03587388720430411,0.037857828524694596,0.7979324880986937,0.2217105070560631,16
SVR,arousal,lag_1,0.006332211712720424,0.032572347764305294,-0.01102436724728676,0.02368879067272761,0.04069234876937325,0.9037960529800184,0.2989807627400587,16
MeanBaseline,arousal,lag_1,-2.401539796249587e-32,1.981253204059924e-31,-1.2958892899828283e-31,8.155813307329108e-32,,0.7768334625040011,5.774815979550212e-16,16
XGBoost,arousal,lag_1,-0.0031200719973362985,0.03764374664430822,-0.02317900866687656,0.01693886467220396,0.007603446908578303,0.8094967596135619,0.2802029561368369,16
CatBoostOptuna,arousal,lag_2,0.008230902968694272,0.047034121789753074,-0.016831811409943487,0.033293617347332036,0.016111698939990673,0.824040616067353,0.32828260805745535,16
