held_out_session,model,target,condition,ccc,pearson_r,mse,rmse
11,MeanBaseline,arousal,sync,4.5617205685984565e-32,,1.2048440850162088,1.0976539003785342
11,Ridge,arousal,sync,0.0722059624558397,0.2317325546472476,1.4423362767943677,1.2009730541499952
11,SVR,arousal,sync,0.0420473787560703,0.1688036255937726,1.086711324562185,1.042454471217897
11,LSTM,arousal,sync,0.0722059624558397,0.2317325546472476,1.4423362767943677,1.2009730541499952
11,MeanBaseline,arousal,retro,4.5617205685984565e-32,,1.2048440850162088,1.0976539003785342
11,Ridge,arousal,retro,0.1094536032481707,0.3296374364401532,1.3868401978484222,1.177641795219761
11,SVR,arousal,retro,0.0636214043448949,0.2157583744537944,1.2217062395085156,1.105308210187781
11,LSTM,arousal,retro,0.1094536032481707,0.3296374364401532,1.3868401978484222,1.177641795219761
11,MeanBaseline,valence,sync,0.0,,0.0002095068792283,0.0144743524631794
11,Ridge,valence,sync,0.0,,0.0216115647953189,0.1470087235347582
11,SVR,valence,sync,0.0,,0.0102346272287737,0.1011663344634654
11,LSTM,valence,sync,0.0,,0.0216115647953189,0.1470087235347582
11,MeanBaseline,valence,retro,0.0,,0.0002095068792283,0.0144743524631794
11,Ridge,valence,retro,0.0,,0.0199945309000364,0.1414020187268782
11,SVR,valence,retro,0.0,,0.0165406762546955,0.1286105604322427
11,LSTM,valence,retro,0.0,,0.0199945309000364,0.1414020187268782
12,MeanBaseline,arousal,sync,3.6281644861916903e-31,,0.3535398308918303,0.5945921550876956
12,Ridge,arousal,sync,0.1260454895858488,0.1832106985253479,0.4024305561072349,0.6343741452070969
12,SVR,arousal,sync,0.1026009341420545,0.1272685961656625,0.3833846983303967,0.6191806669546431
12,LSTM,arousal,sync,0.1260454895858488,0.1832106985253479,0.4024305561072349,0.6343741452070969
12,MeanBaseline,arousal,retro,3.6281644861916903e-31,,0.3535398308918303,0.5945921550876956
12,Ridge,arousal,retro,0.0719367037701571,0.0995395043848587,0.4258655636194757,0.6525837598496271
12,SVR,arousal,retro,0.0709412234040846,0.0897831068955954,0.3895180326488202,0.6241137978356353
12,LSTM,arousal,retro,0.0719367037701571,0.0995395043848587,0.4258655636194757,0.6525837598496271
12,MeanBaseline,valence,sync,0.0,,0.0002097198468173,0.0144817073170733
12,Ridge,valence,sync,0.0,,0.0059896466816988,0.0773928076871413
12,SVR,valence,sync,0.0,,0.0204416852733592,0.1429744217451473
12,LSTM,valence,sync,0.0,,0.0059896466816988,0.0773928076871413
12,MeanBaseline,valence,retro,0.0,,0.0002097198468173,0.0144817073170733
12,Ridge,valence,retro,0.0,,0.008369405928154,0.0914844573037084
12,SVR,valence,retro,0.0,,0.0156707669189065,0.1251829338165012
12,LSTM,valence,retro,0.0,,0.008369405928154,0.0914844573037084
13,MeanBaseline,arousal,sync,3.249802673260703e-31,,0.616485512708926,0.7851659141282982
13,Ridge,arousal,sync,-0.055276745289353,-0.1765274020784819,0.7874555012718069,0.8873868949177731
13,SVR,arousal,sync,-0.0157598745737679,-0.0504864195052172,0.8690696933069404,0.9322390751877656
13,LSTM,arousal,sync,-0.055276745289353,-0.1765274020784819,0.7874555012718069,0.8873868949177731
13,MeanBaseline,arousal,retro,3.249802673260703e-31,,0.616485512708926,0.7851659141282982
13,Ridge,arousal,retro,-0.027183711425279,-0.0915100638278656,0.8263861601581644,0.9090578420310582
13,SVR,arousal,retro,0.0323534801004528,0.1084800785590311,0.814744914350928,0.9026322143325752
13,LSTM,arousal,retro,-0.027183711425279,-0.0915100638278656,0.8263861601581644,0.9090578420310582
13,MeanBaseline,valence,sync,-1.8742630607505056e-31,,0.2672325338399577,0.5169453876764525
13,Ridge,valence,sync,-0.0386068623222401,-0.1751817188901787,0.24065600223454,0.4905670211444508
13,SVR,valence,sync,-0.0607719509905831,-0.1678460937452584,0.244156432261363,0.4941218799662316
13,LSTM,valence,sync,-0.0386068623222401,-0.1751817188901787,0.24065600223454,0.4905670211444508
13,MeanBaseline,valence,retro,-1.8742630607505056e-31,,0.2672325338399577,0.5169453876764525
13,Ridge,valence,retro,-0.0134423165460755,-0.053322839479734,0.2376543809664247,0.487498083038718
13,SVR,valence,retro,0.0181921919340248,0.0514485085320448,0.2332203977769764,0.4829289779843165
13,LSTM,valence,retro,-0.0134423165460755,-0.053322839479734,0.2376543809664247,0.487498083038718
14,MeanBaseline,arousal,sync,1.0163683777533026e-31,,0.8358608275405636,0.914254246662581
14,Ridge,arousal,sync,-0.0112441160275692,-0.0352979594710523,0.8902008092536015,0.943504535894556
14,SVR,arousal,sync,0.0075977277571169,0.0203265818965548,0.8550709975018734,0.9247004907005693
14,LSTM,arousal,sync,-0.0112441160275692,-0.0352979594710523,0.8902008092536015,0.943504535894556
14,MeanBaseline,arousal,retro,1.0163683777533026e-31,,0.8358608275405636,0.914254246662581
14,Ridge,arousal,retro,-0.0287672423535773,-0.0879557502190259,0.901703825103826,0.9495808681222606
14,SVR,arousal,retro,0.0089099427377944,0.0221466782106421,0.8741845681142925,0.9349783784207484
14,LSTM,arousal,retro,-0.0287672423535773,-0.0879557502190259,0.901703825103826,0.9495808681222606
14,MeanBaseline,valence,sync,3.0026679597933397e-30,,0.0121255381360449,0.1101160212505197
14,Ridge,valence,sync,0.0059676533176344,0.0088564568263698,0.020827282799786,0.144316606112346
14,SVR,valence,sync,-0.0013404575900964,-0.0029280883374846,0.0412080706422528,0.2029977109286034
14,LSTM,valence,sync,0.0059676533176344,0.0088564568263698,0.020827282799786,0.144316606112346
14,MeanBaseline,valence,retro,3.0026679597933397e-30,,0.0121255381360449,0.1101160212505197
14,Ridge,valence,retro,0.0149190266980536,0.0209457905180267,0.0202447049194594,0.1422838884746247
14,SVR,valence,retro,-0.0213969197489626,-0.0497383584453875,0.0405626556816903,0.2014017271070195
14,LSTM,valence,retro,0.0149190266980536,0.0209457905180267,0.0202447049194594,0.1422838884746247
15,MeanBaseline,arousal,sync,0.0,,0.5937245757605395,0.7705352527694884
15,Ridge,arousal,sync,0.0081440087580271,0.01487735138025,0.7970228265743924,0.8927613491714302
15,SVR,arousal,sync,-0.0359871056244054,-0.0742523903729145,0.5566041409796278,0.7460590733846938
15,LSTM,arousal,sync,0.0081440087580271,0.01487735138025,0.7970228265743924,0.8927613491714302
15,MeanBaseline,arousal,retro,0.0,,0.5937245757605395,0.7705352527694884
15,Ridge,arousal,retro,0.0899624342208594,0.1634511935033865,0.7281791279401383,0.8533341244437247
15,SVR,arousal,retro,0.0707731333450414,0.1197311104336951,0.519378578963634,0.7206792483231594
15,LSTM,arousal,retro,0.0899624342208594,0.1634511935033865,0.7281791279401383,0.8533341244437247
15,MeanBaseline,valence,sync,-1.3012454720947204e-30,,0.1926794281471949,0.4389526490946318
15,Ridge,valence,sync,0.0316005766972624,0.0858379092807886,0.1735596260067184,0.4166048799602789
15,SVR,valence,sync,0.0947970296331714,0.2087375891534789,0.1624486387269533,0.4030491765615621
15,LSTM,valence,sync,0.0316005766972624,0.0858379092807886,0.1735596260067184,0.4166048799602789
15,MeanBaseline,valence,retro,-1.3012454720947204e-30,,0.1926794281471949,0.4389526490946318
15,Ridge,valence,retro,0.0613677713100618,0.148791944197816,0.173975993360617,0.4171042955432334
15,SVR,valence,retro,0.1017181465467687,0.2410746714816892,0.1579819244034096,0.397469400587529
15,LSTM,valence,retro,0.0613677713100618,0.148791944197816,0.173975993360617,0.4171042955432334
16,MeanBaseline,arousal,sync,0.0,,0.5398408884609939,0.7347386531692707
16,Ridge,arousal,sync,0.0571184119675163,0.1464334206020791,0.7245277307661422,0.8511919470754773
16,SVR,arousal,sync,0.0610958202964061,0.1328338208760295,0.6657772278134053,0.8159517313011875
16,LSTM,arousal,sync,0.0571184119675163,0.1464334206020791,0.7245277307661422,0.8511919470754773
16,MeanBaseline,arousal,retro,0.0,,0.5398408884609939,0.7347386531692707
16,Ridge,arousal,retro,0.0860596394722029,0.2171576618321379,0.6707039719412075,0.8189651835952536
16,SVR,arousal,retro,-0.0211497543422114,-0.043119051798803,0.7425382375729882,0.8617065843853047
16,LSTM,arousal,retro,0.0860596394722029,0.2171576618321379,0.6707039719412075,0.8189651835952536
16,MeanBaseline,valence,sync,0.0,,0.0191277202805216,0.1383030017046689
16,Ridge,valence,sync,0.0501451386369175,0.0740836855048802,0.0376077981894054,0.1939273012997538
16,SVR,valence,sync,-0.0016833006083096,-0.0029101028783133,0.0449006267564583,0.2118976799223113
16,LSTM,valence,sync,0.0501451386369175,0.0740836855048802,0.0376077981894054,0.1939273012997538
16,MeanBaseline,valence,retro,0.0,,0.0191277202805216,0.1383030017046689
16,Ridge,valence,retro,0.0674706924024199,0.1005878837289826,0.0450213391136019,0.2121823251677715
16,SVR,valence,retro,0.033275340333535,0.0449295377878712,0.0528449006300416,0.2298801875543903
16,LSTM,valence,retro,0.0674706924024199,0.1005878837289826,0.0450213391136019,0.2121823251677715
