held_out_session,model,target,condition,ccc,pearson_r,mse,rmse,pred_dispersion
5,RidgeCV,valence,lag_0,0.02017095662328323,0.03630412357618933,0.17846929354697147,0.42245626228873856,0.34701531431655175
5,SVR,valence,lag_0,0.011693030101577814,0.030044024373867217,0.1639851283314234,0.404950772726048,0.22143510600255104
5,XGBoost,valence,lag_0,-0.09825854820473971,-0.1884444379208503,0.24228194860350385,0.4922214426490417,0.39442859424743876
5,CatBoost,valence,lag_0,-0.04062009442011722,-0.09060482950448653,0.18427676218098316,0.42927469315227884,0.2722280376873427
5,Ensemble,valence,lag_0,-0.0019405194658476937,-0.00541780593114492,0.1714124027770647,0.41401980964328833,0.2101163114498328
6,MeanBaseline,arousal,lag_0,2.7804251290590926e-31,,0.5674390559748438,0.7532855076097268,6.487419400805528e-16
6,RidgeCV,arousal,lag_0,-0.011291916365570006,-0.041597526792593,0.7442937692656741,0.8627246196009907,0.2131775677796757
6,SVR,arousal,lag_0,-0.03241300964235666,-0.07339533349375929,0.8450381001994038,0.9192595390853466,0.3856978737091194
6,XGBoost,arousal,lag_0,-0.0007867312790665419,-0.003077785208270436,0.6502522049857753,0.8063821705530048,0.17721558657969336
6,CatBoost,arousal,lag_0,0.04693519790320569,0.15684940742919687,0.6041338998746267,0.7772605096585229,0.20239513027333086
6,Ensemble,arousal,lag_0,-0.0015013719868117593,-0.00570615883066402,0.7127178261207433,0.8442261700046637,0.19979473411396273
6,MeanBaseline,valence,lag_0,-6.063248601429045e-31,,0.30357908219067054,0.5509801105218505,9.153087888037907e-16
6,RidgeCV,valence,lag_0,0.013457412593565773,0.027817449720936548,0.28460193606092843,0.5334809612918988,0.29643610304011625
6,SVR,valence,lag_0,0.010917882222337402,0.042528693045990565,0.2941631628675049,0.5423681064254284,0.16217247018453487
6,XGBoost,valence,lag_0,-0.05941489407397619,-0.11187273945163512,0.6277207305640548,0.7922882875343134,0.6683997496839015
6,CatBoost,valence,lag_0,-0.04829240910721638,-0.1492938142008434,0.9112644206699975,0.9546017078708782,0.5972605880168652
6,Ensemble,valence,lag_0,-0.03388624273539921,-0.1035156555950352,0.41686921876357474,0.6456541014843589,0.28035562843201867
7,MeanBaseline,arousal,lag_0,-1.3521162746833118e-31,,0.7978486496249374,0.893223739958213,6.146453168325154e-16
7,RidgeCV,arousal,lag_0,-0.06851553413690009,-0.20554476112651504,0.9671576240059936,0.9834417237467574,0.28898664360776394
7,SVR,arousal,lag_0,-0.03295266269141897,-0.05951697296141162,0.9792791027453789,0.9895853185781299,0.5027527577592379
7,XGBoost,arousal,lag_0,0.027034504821884204,0.08329933535101608,1.0875128497303506,1.0428388416866483,0.3474501930000448
7,CatBoost,arousal,lag_0,0.16139702801607309,0.435421088409022,0.9211835137929356,0.95978305558753,0.3899909687314225
7,Ensemble,arousal,lag_0,0.028269726807615126,0.08474870546255715,0.9152287294518366,0.9566758748143682,0.30092007814708355
7,MeanBaseline,valence,lag_0,-6.408989579812616e-31,,0.42080897872341544,0.6486979102197074,1.5560324483032938e-15
7,RidgeCV,valence,lag_0,-0.008814730633704842,-0.025112419888661933,0.40339610432875767,0.6351347135283645,0.21540096017106672
7,SVR,valence,lag_0,0.059649646279234775,0.25304274396035437,0.3801737541917074,0.6165823174497526,0.1462558656353472
7,XGBoost,valence,lag_0,0.008212141029267093,0.015590031520104547,0.449310073608009,0.6703059552234405,0.3662213363028831
7,CatBoost,valence,lag_0,0.09114728804198756,0.21962052190722295,0.5720799761432125,0.7563596870161792,0.4009045088697848
7,Ensemble,valence,lag_0,0.056131721568865256,0.20433134555990357,0.4297826520126309,0.6555781051961932,0.1919630879093579
8,MeanBaseline,arousal,lag_0,2.044310588442617e-31,,0.8610570945377382,0.9279316216929662,4.822416754410103e-16
8,RidgeCV,arousal,lag_0,-0.09303358133641319,-0.21534639238236578,1.0014670088094797,1.0007332355875265,0.23338036885558813
8,SVR,arousal,lag_0,-0.07983615455581096,-0.13883749729881442,1.1209125411293914,1.058731571801555,0.35193765736834837
8,XGBoost,arousal,lag_0,-0.16845480355047215,-0.30655638461536133,1.0942708091501168,1.0460739979323244,0.3034205357468621
8,CatBoost,arousal,lag_0,-0.13252388558195713,-0.19117999889675621,1.1560252524760697,1.0751861478256077,0.41718693369416265
8,Ensemble,arousal,lag_0,-0.11544346454918743,-0.279032927255129,1.0017740127430175,1.0008866133299104,0.21907616798130555
8,MeanBaseline,valence,lag_0,1.6793919430322807e-30,,0.21739573770433598,0.4662571583411197,2.0106221698133093e-15
8,RidgeCV,valence,lag_0,-0.19966703148166604,-0.3312213002419491,0.2935274590231124,0.5417817448226845,0.3779258678985093
8,SVR,valence,lag_0,-0.1462102630339253,-0.29692672834726513,0.26091181777338796,0.5107952797093841,0.28720270613863325
8,XGBoost,valence,lag_0,-0.1518502042995479,-0.23558953417677397,0.26549218267185454,0.5152593353563374,0.38066734752052117
8,CatBoost,valence,lag_0,-0.045894074687684965,-0.0767587731271074,0.22750173287061357,0.47697141724700187,0.3332392163430734
8,Ensemble,valence,lag_0,-0.14579890448629323,-0.30195721359533284,0.25192035964846976,0.5019166859633876,0.27201585667024525
9,MeanBaseline,arousal,lag_0,8.120199951149999e-32,,0.30840623988332816,0.5553433531458967,8.829658647604787e-16
9,RidgeCV,arousal,lag_0,-0.05683626961562019,-0.08432581041191901,0.3161302633700255,0.5622546250321339,0.39851144285676365
9,SVR,arousal,lag_0,-0.23575468636095126,-0.2432099267662879,0.5431591565014674,0.7369933218839011,0.8421535176439565
9,XGBoost,arousal,lag_0,0.012293317623088397,0.021151419938765792,0.4200359599669406,0.6481018129637817,0.48854598213602113
9,CatBoost,arousal,lag_0,-0.11526362531052337,-0.28854496056624357,0.6822235643197317,0.825968258663571,0.4829980195408668
9,Ensemble,arousal,lag_0,-0.19018909053304378,-0.2769863564946403,0.40315493329300234,0.6349448269676684,0.4597276532247814
9,MeanBaseline,valence,lag_0,-1.782493879834954e-31,,0.9132195266069841,0.9556252019526191,4.742523037215925e-16
9,RidgeCV,valence,lag_0,-0.03721431369378875,-0.10370624640735643,0.9953452421323428,0.9976699063980745,0.196362612919054
9,SVR,valence,lag_0,0.01793420630738392,0.0544518461866865,0.9083149462254095,0.9530555840166981,0.17370562768280967
9,XGBoost,valence,lag_0,-0.11162732810381953,-0.21142162132676165,1.6082238627066217,1.2681576647667363,0.4355689149593569
9,CatBoost,valence,lag_0,-0.04159362685081405,-0.15230132396794083,1.090463418091434,1.0442525643212155,0.1630363184636515
9,Ensemble,valence,lag_0,-0.02228299535558369,-0.08614386772988357,0.9812734398404082,0.9905924691014,0.14158477999354516
10,MeanBaseline,arousal,lag_0,-5.650644175849873e-32,,1.7869501728641874,1.3367685562071647,6.586917991528303e-16
10,RidgeCV,arousal,lag_0,-0.04981881983169805,-0.34214640705706956,1.5263815942273427,1.2354681680348314,0.23287576409225613
10,SVR,arousal,lag_0,0.01602625979212152,0.06318005589685545,1.6102795099458231,1.2689678916134257,0.4566295430418846
10,XGBoost,arousal,lag_0,0.0022987173830529453,0.010050001113096093,1.33721120960556,1.156378488906448,0.3372197662850455
10,CatBoost,arousal,lag_0,0.07515758574241463,0.3490135905721256,1.344589982648039,1.159564565967777,0.3443869528916775
10,Ensemble,arousal,lag_0,0.012491073015779354,0.08187313124811654,1.4633234301618752,1.2096790608098809,0.24868621799795346
10,MeanBaseline,valence,lag_0,0.0,,1.0489209032973543,1.0241683959668715,0.0
