model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
RidgeCV,arousal,lag_1,0.010519526099908378,0.02767218207019401,-0.00422593887462909,0.025264991074445846,0.026364928248873973,0.893726665147524,0.42989888771848717,16
CatBoost,arousal,lag_1,0.008083556923807474,0.05215292163663026,-0.019706773356689165,0.03587388720430411,0.037857828524694596,0.7979324880986937,0.2217105070560631,16
SVR,arousal,lag_1,0.0037801633794002235,0.03544603134002009,-0.015107693468491612,0.022668020227292057,0.03088352682210214,0.918145625567164,0.31318037358845396,16
MeanBaseline,arousal,lag_1,-2.401539796249587e-32,1.981253204059924e-31,-1.2958892899828283e-31,8.155813307329108e-32,,0.7768334625040011,5.774815979550212e-16,16
XGBoost,arousal,lag_1,-0.0031200719973362985,0.03764374664430822,-0.02317900866687656,0.01693886467220396,0.007603446908578303,0.8094967596135619,0.2802029561368369,16
SVR,arousal,lag_2,0.0064873519370119564,0.03709731625764856,-0.01328041253269692,0.026255116406720833,0.03750054129564391,0.9131339717052251,0.313951150421846,16
Ensemble,arousal,lag_2,0.005332247703818355,0.03200218803701431,-0.011720514583281182,0.022385009990917894,0.020658956762686264,0.8630994793175819,0.29942915132341785,16
RidgeCV,arousal,lag_2,0.0004278054594772131,0.030595355467552692,-0.01587530866740807,0.016730919586362497,0.006341096833666664,0.954574758797466,0.4968895318124554,16
MeanBaseline,arousal,lag_2,9.473610742765201e-32,1.4124624891747997e-31,1.9471294160871586e-32,1.7000092069443244e-31,,0.7775994539247872,5.954940352566051e-16,16
CatBoost,arousal,lag_2,-0.0014164648673235724,0.050599041943793124,-0.028378791106532318,0.02554586137188517,0.0001450726981230832,0.8013890176361397,0.213760129630863,16
XGBoost,arousal,lag_2,-0.013908591589890539,0.03968802818835517,-0.035056849001444346,0.00723966582166327,-0.02120624529307331,0.8198459517018248,0.2734235068165777,16
SVR,arousal,lag_3,0.008757417444987623,0.05067016921669011,-0.01824280984259441,0.035757644732569656,0.050722616235255716,0.9212494876959446,0.3576455493021934,16
