model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,n_sessions
RidgeCV,arousal,lag_1,0.010519526099908378,0.02767218207019401,-0.00422593887462909,0.025264991074445846,0.026364928248873973,0.893726665147524,16
CatBoost,arousal,lag_1,0.008083556923807474,0.05215292163663026,-0.019706773356689165,0.03587388720430411,0.037857828524694596,0.7979324880986937,16
SVR,arousal,lag_1,0.005333369252228185,0.03374716000066195,-0.012649222959603985,0.023315961464060352,0.034694604246960935,0.9123494741356899,16
MeanBaseline,arousal,lag_1,-2.401539796249587e-32,1.981253204059924e-31,-1.2958892899828283e-31,8.155813307329108e-32,,0.7768334625040011,16
XGBoost,arousal,lag_1,-0.0031200719973362985,0.03764374664430822,-0.02317900866687656,0.01693886467220396,0.007603446908578303,0.8094967596135619,16
SVR,arousal,lag_2,0.008847382956177766,0.03713838342873805,-0.010942264664320134,0.028637030576675666,0.04757439103825663,0.9005729280102712,16
Ensemble,arousal,lag_2,0.005398931996954117,0.032410909715264176,-0.0118716226989869,0.022669486692895133,0.020377090312472448,0.8620764485223062,16
RidgeCV,arousal,lag_2,0.0004278054594772131,0.030595355467552692,-0.01587530866740807,0.016730919586362497,0.006341096833666664,0.954574758797466,16
MeanBaseline,arousal,lag_2,9.473610742765201e-32,1.4124624891747997e-31,1.9471294160871586e-32,1.7000092069443244e-31,,0.7775994539247872,16
CatBoost,arousal,lag_2,-0.0014164648673235724,0.050599041943793124,-0.028378791106532318,0.02554586137188517,0.0001450726981230832,0.8013890176361397,16
XGBoost,arousal,lag_2,-0.013908591589890539,0.03968802818835517,-0.035056849001444346,0.00723966582166327,-0.02120624529307331,0.8198459517018248,16
SVR,arousal,lag_3,0.011522123883172787,0.049968160569042026,-0.015104029401157189,0.03814827716750276,0.06078302646668098,0.90802517319481,16
Ensemble,arousal,lag_3,0.0069532458628152796,0.03563184025830478,-0.012033621568686247,0.025940113294316808,0.028281393208921764,0.8562445895906509,16
RidgeCV,arousal,lag_3,0.003045732155984597,0.031891273536559954,-0.013947927965717597,0.02003939227768679,0.017332532076026967,0.9226344693445431,16
MeanBaseline,arousal,lag_3,1.7495372382259818e-32,1.8823318132445705e-31,-8.280700981604008e-32,1.1779775458055972e-31,,0.7775406452304945,16
XGBoost,arousal,lag_3,-0.003778137079306708,0.0342392625503404,-0.022022952230109055,0.01446667807149564,0.0010687288764653566,0.8223725137643056,16
CatBoost,arousal,lag_3,-0.004094098374192843,0.0432622970148582,-0.027146949202235836,0.018958752453850147,-0.005096692930123535,0.8067050581824053,16
SVR,arousal,lag_4,0.01512557541232452,0.04735606546780962,-0.010108690642885571,0.040359841467534616,0.05339156589326579,0.8973893556650028,16
Ensemble,arousal,lag_4,0.010827484706873223,0.03628738521536672,-0.008508697974834152,0.030163667388580596,0.03731223403012959,0.8311779112851548,16
RidgeCV,arousal,lag_4,0.0059754979078595625,0.03355969561832617,-0.011907201585838068,0.02385819740155719,0.02011916935746401,0.8750855627106534,16
MeanBaseline,arousal,lag_4,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,16
XGBoost,arousal,lag_4,-0.001020225789276295,0.04164398935328735,-0.023210741334861694,0.021170289756309107,-0.0015794145075461348,0.8150733903026838,16
CatBoost,arousal,lag_4,-0.0012441526128680962,0.047931053099158405,-0.026784807949463335,0.024296502723727145,-0.003943892954860705,0.8018497776021329,16
RidgeCV,arousal,lag_400ms,0.01763021055250679,0.03136845412427812,0.000915141230484022,0.03434527987452956,0.039956744628417126,0.8776670315715938,16
Ensemble,arousal,lag_400ms,0.012832637824515682,0.032865110622787096,-0.0046799434509084276,0.030345219099939792,0.03761983664686809,0.827360935268209,16
CatBoost,arousal,lag_400ms,0.005550394212938756,0.05198329849972764,-0.02214955027804102,0.03325033870391853,0.011337649964992933,0.791721211371252,16
XGBoost,arousal,lag_400ms,0.0031625023491737435,0.031695515822339156,-0.013726845849774537,0.020051850548122023,0.013702251743122814,0.8056587966005935,16
MeanBaseline,arousal,lag_400ms,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,16
SVR,arousal,lag_400ms,-0.0033471104440866662,0.03304490232127401,-0.02095549595301959,0.014261275064846257,0.015199412321540009,0.8842473701382088,16
CatBoost,arousal,own_signal,0.08181368584375813,0.08224727043024255,0.03798720904824932,0.12564016263926694,0.1813690156269367,0.7603964591096471,16
XGBoost,arousal,own_signal,0.06674731474472714,0.09377198039927241,0.016779753492670413,0.11671487599678387,0.12954690339370517,0.7812972810011398,16
Ensemble,arousal,own_signal,0.04078831396211572,0.049671198006066855,0.014320400857761133,0.0672562270664703,0.1446081385316918,0.7770950471753302,16
RidgeCV,arousal,own_signal,0.03959868334440579,0.05933881887957824,0.007979258710679789,0.0712181079781318,0.10313059799549762,0.8013076876947381,16
MeanBaseline,arousal,own_signal,5.017037473201237e-32,2.5278867875748435e-31,-8.453120388303304e-32,1.8487195334705777e-31,,0.7763702322792089,16
SVR,arousal,own_signal,-0.003683079772584671,0.03993350370765603,-0.02496214185515342,0.017595982309984076,0.010800421018552093,0.8290875258382742,16
SVR,arousal,random_dyad,0.028079024414003742,0.10169627182523384,-0.02611109367773927,0.08226914250574675,0.03796094456737119,0.9094691002326232,16
Ensemble,arousal,random_dyad,0.026199683197695105,0.10610659112146995,-0.030340528158981396,0.08273989455437161,0.060856312197284164,0.8621637819074823,16
RidgeCV,arousal,random_dyad,0.012596294927267139,0.0773964769455681,-0.0286453764761138,0.05383796633064808,0.030108807287307054,1.0063433517715694,16
CatBoost,arousal,random_dyad,0.011857002984689044,0.10252083947046149,-0.04277249619022982,0.06648650215960791,0.047092948267803955,0.7840260836749436,16
XGBoost,arousal,random_dyad,0.002131642337520945,0.09983295428329525,-0.051065583922222636,0.055328868597264526,0.018251581606751242,0.7999426496356797,16
MeanBaseline,arousal,random_dyad,9.361823436473708e-33,1.270161894164854e-31,-5.832032636613746e-32,7.704397323908489e-32,,0.7752404200522511,16
RidgeCV,valence,circ_shift,0.009184978656380377,0.028637592739731023,-0.006074917351372788,0.02444487466413354,0.03297063560216623,0.2800333887592439,16
Ensemble,valence,circ_shift,0.005149223215083195,0.018393384152670122,-0.004651919358293501,0.014950365788459891,0.009142203626697418,0.2572572674295744,16
CatBoost,valence,circ_shift,0.0028279293878968,0.03044842175987351,-0.013396889292873448,0.01905274806866705,-0.02239650107202812,0.2631765244993036,16
SVR,valence,circ_shift,7.550895438984847e-06,4.9944175993661296e-05,-1.906247736727121e-05,3.41642682452409e-05,-0.0019523144901376454,0.24156401077076967,16
