model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,n_sessions
SVR,arousal,lag_3,-0.0164658397611903,0.2033499513871475,-0.1248233801296018,0.0918917006072211,-0.0178566701077061,1.1191014240304809,16
CatBoost,arousal,lag_4,0.0130652531058078,0.1600822631058022,-0.0722365636314346,0.0983670698430504,0.0428661301609833,0.9704972981871598,16
Ensemble,arousal,lag_4,0.0090023102482709,0.1795947668886245,-0.0866969858191269,0.1047016063156687,0.0028062404717198,0.956419215599297,16
MeanBaseline,arousal,lag_4,-9.077983099538296e-32,7.525321423467024e-31,-4.917759042012986e-31,3.102162422105326e-31,,0.8898302449522706,16
RidgeCV,arousal,lag_4,-0.0072441834509585,0.2053640620253161,-0.1166749676204777,0.1021866007185606,-0.0524031529430596,1.050505496930131,16
SVR,arousal,lag_4,-0.0190080529042609,0.2010627995803353,-0.1261468561028587,0.0881307502943367,-0.0249373762132867,1.0874528334931144,16
MeanBaseline,valence,lag_0,4.382214333004357e-31,1.144222760908354e-30,-1.714918376387505e-31,1.0479347042396218e-30,,0.7113733932475386,16
RidgeCV,valence,lag_0,-0.0287281039555574,0.0786137568718145,-0.0706184180453425,0.0131622101342275,-0.0775949503199574,0.8239604965878723,16
Ensemble,valence,lag_0,-0.0305446909325329,0.0721375426444198,-0.0689840740543366,0.0078946921892708,-0.0873011285404951,0.7959575344430672,16
CatBoost,valence,lag_0,-0.0369812260922893,0.0916201726467548,-0.0858021699302874,0.0118397177457087,-0.0683025116801893,0.8255930502379786,16
SVR,valence,lag_0,-0.0397409975983562,0.0617768038393823,-0.072659532715746,-0.0068224624809665,-0.0947639777265049,0.8117156988742538,16
MeanBaseline,valence,lag_1,-3.952461901706493e-31,1.681723343507352e-30,-1.291373304239462e-30,5.008809238981633e-31,,0.7105786112886864,16
Ensemble,valence,lag_1,-0.0327277217019822,0.0651965397801309,-0.0674685054735823,0.0020130620696179,-0.0998198818329664,0.8040873255357011,16
RidgeCV,valence,lag_1,-0.0352591005444167,0.070647026879716,-0.0729042438788887,0.0023860427900552,-0.0963941481774978,0.8418027302101232,16
CatBoost,valence,lag_1,-0.0386018216288986,0.1010552678968146,-0.0924503728376589,0.0152467295798617,-0.0692238155572674,0.8346436120229823,16
SVR,valence,lag_1,-0.0429237898278149,0.0629726979270886,-0.0764795719226494,-0.0093680077329805,-0.1104606181545828,0.80597332140756,16
MeanBaseline,valence,lag_2,-3.4785091192208333e-31,1.439792697212626e-30,-1.115062284465454e-30,4.193604606212875e-31,,0.7100294735823127,16
CatBoost,valence,lag_2,-0.0322186505318419,0.0986867345040738,-0.0848050993847024,0.0203677983210184,-0.0600227007754235,0.8303065171222986,16
